Date,Stock_Close,Exchange_Close
2021-01-13,89700,1093.5400390625
2021-01-14,89700,1097.1099853515625
2021-01-15,88000,1094.9000244140625
2021-01-18,85000,1102.9599609375
2021-01-19,87000,1103.0999755859375
2021-01-20,87200,1100.989990234375
2021-01-21,88100,1096.25
2021-01-22,86800,1099.9000244140625
2021-01-25,89400,1104.6400146484375
2021-01-26,86700,1101.72998046875
2021-01-27,85600,1101.0
2021-01-28,83700,1107.5
2021-01-29,82000,1112.2900390625
2021-02-01,83000,1117.4300537109375
2021-02-02,84400,1116.8800048828125
2021-02-03,84600,1113.6099853515625
2021-02-04,82500,1113.1500244140625
2021-02-05,83500,1119.1300048828125
2021-02-08,83000,1116.8499755859375
2021-02-09,82700,1116.3299560546875
2021-02-10,81600,1110.0
2021-02-15,84200,1103.3699951171875
2021-02-16,84900,1102.239990234375
2021-02-17,83200,1106.4599609375
2021-02-18,82100,1104.550048828125
2021-02-19,82600,1106.219970703125
2021-02-22,82200,1103.93994140625
2021-02-23,82000,1110.6700439453125
2021-02-24,82000,1109.31005859375
2021-02-25,85300,1107.2099609375
2021-02-26,82500,1119.1300048828125
2021-03-02,83600,1101.8299560546875
2021-03-03,84000,1124.3299560546875
2021-03-04,82400,1129.5
2021-03-05,82100,1133.3499755859375
2021-03-08,82000,1127.489990234375
2021-03-09,81400,1140.22998046875
2021-03-10,80900,1134.9100341796875
2021-03-11,82000,1136.010009765625
2021-03-12,82800,1129.6400146484375
2021-03-15,81800,1134.5
2021-03-16,82800,1131.3900146484375
2021-03-17,82300,1129.8399658203125
2021-03-18,82900,1121.1300048828125
2021-03-19,81900,1126.1099853515625
2021-03-22,82000,1127.47998046875
2021-03-23,81800,1125.1199951171875
2021-03-24,81000,1133.199951171875
2021-03-25,81200,1134.47998046875
2021-03-26,81500,1134.2099609375
2021-03-29,81600,1131.6500244140625
2021-03-30,82200,1132.3199462890625
2021-03-31,81400,1127.199951171875
2021-04-01,82900,1128.06005859375
2021-04-05,85400,1124.1099853515625
2021-04-06,86000,1117.5
2021-04-07,85600,1117.8599853515625
2021-04-08,84700,1115.8399658203125
2021-04-12,83200,1124.449951171875
2021-04-13,84000,1120.68994140625
2021-04-14,84000,1116.1099853515625
2021-04-15,84100,1115.6700439453125
2021-04-19,83300,1114.469970703125
2021-04-20,83900,1116.1099853515625
2021-04-21,82600,1115.6600341796875
2021-04-22,82400,1118.5899658203125
2021-04-26,83500,1109.22998046875
2021-04-27,82900,1112.1500244140625
2021-04-28,82100,1108.6600341796875
2021-04-29,81700,1106.6300048828125
2021-05-03,81700,1120.4000244140625
2021-05-04,82600,1124.9100341796875
2021-05-06,82300,1119.3900146484375
2021-05-10,83200,1115.5400390625
2021-05-11,81200,1118.22998046875
2021-05-12,80000,1131.5999755859375
2021-05-13,78500,1125.699951171875
2021-05-17,79600,1135.510009765625
2021-05-18,79600,1127.1400146484375
2021-05-20,79500,1127.050048828125
2021-05-24,79700,1122.18994140625
2021-05-25,79900,1121.3800048828125
2021-05-26,79800,1115.52001953125
2021-05-27,79600,1117.300048828125
2021-05-31,80500,1106.97998046875
2021-06-01,80600,1107.2099609375
2021-06-02,80800,1109.8800048828125
2021-06-03,82800,1115.43994140625
2021-06-07,81900,1109.3199462890625
2021-06-08,81900,1116.8900146484375
2021-06-09,81100,1116.4100341796875
2021-06-10,81000,1111.260009765625
2021-06-14,80500,1116.3199462890625
2021-06-15,80900,1116.030029296875
2021-06-16,81800,1131.949951171875
2021-06-17,80900,1133.5400390625
2021-06-21,79900,1130.3399658203125
2021-06-22,80000,1132.510009765625
2021-06-23,80100,1132.6099853515625
2021-06-24,81200,1130.800048828125
2021-06-28,81900,1129.0400390625
2021-06-29,81000,1130.510009765625
2021-06-30,80700,1129.5999755859375
2021-07-01,80100,1132.4100341796875
2021-07-05,80400,1129.43994140625
2021-07-06,81200,1135.47998046875
2021-07-07,80800,1140.52001953125
2021-07-08,79900,1146.280029296875
2021-07-12,79700,1141.0999755859375
2021-07-13,79800,1148.699951171875
2021-07-14,79500,1143.4100341796875
2021-07-15,80600,1140.1199951171875
2021-07-19,79000,1150.0699462890625
2021-07-20,79000,1147.47998046875
2021-07-21,78500,1148.68994140625
2021-07-22,79700,1149.9100341796875
2021-07-26,78800,1151.760009765625
2021-07-27,78500,1153.56005859375
2021-07-28,79200,1149.4100341796875
2021-07-29,79000,1142.1199951171875
2021-08-02,79300,1149.56005859375
2021-08-03,81400,1148.5799560546875
2021-08-04,82900,1144.06005859375
2021-08-05,82100,1143.1199951171875
2021-08-09,81500,1145.8900146484375
2021-08-10,80200,1152.47998046875
2021-08-11,78500,1152.8499755859375
2021-08-12,77000,1162.06005859375
2021-08-17,74200,1176.449951171875
2021-08-18,73900,1169.6800537109375
2021-08-19,73100,1175.3900146484375
2021-08-23,73300,1167.6099853515625
2021-08-24,75600,1163.469970703125
2021-08-25,75700,1163.3299560546875
2021-08-26,74600,1170.0
2021-08-30,74600,1165.510009765625
2021-08-31,76700,1158.4100341796875
2021-09-01,76800,1155.280029296875
2021-09-02,76000,1157.1300048828125
2021-09-06,77300,1155.5400390625
2021-09-07,76100,1161.0
2021-09-08,76300,1166.489990234375
2021-09-09,75300,1169.1300048828125
2021-09-13,76300,1171.1099853515625
2021-09-14,76600,1170.800048828125
2021-09-15,77000,1165.219970703125
2021-09-16,76100,1174.4200439453125
2021-09-23,77400,1174.699951171875
2021-09-27,77700,1176.9599609375
